Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,NPL,Estresse_Alto,RWA_Credito_lag4,RWA_Mercado_lag4,RWA_Operacional_lag4,Capital_Principal_lag4,Alavancagem_lag4,PIB_lag4,IPCA_lag4,Spread_lag4,Prob_Estresse,Log_Odds_Estresse,Score_Robustez
SOCIETE GENERALE - PRUDENCIAL,2017-03-01,2582710.0,248886.0,317800.0,0.3251,0.1793,164.34,0.9630321349999972,41.17333333333333,0.0448140698890692,0,3810483.0,458497.0,193541.0,0.2307999999999999,0.0962,163.26,2.6208101489999747,35.07,0.03287206708656733,-3.381707513157619,3.381707513157619
SOCIETE GENERALE - PRUDENCIAL,2017-06-01,3255064.0,100182.0,317800.0,0.2734,0.1651,165.65,0.2193980018000196,36.63666666666666,0.0292178814163708,0,3953026.0,36132.0,193541.0,0.2387,0.1159,163.72,1.7496396530000125,38.303333333333335,0.02758688372298961,-3.562440298676288,3.562440298676288
SOCIETE GENERALE - PRUDENCIAL,2017-09-01,3096292.0,42547.0,364404.0,0.2573999999999999,0.1125,166.12,0.5911447296000016,36.16333333333333,0.0284738537729371,0,3100934.0,199315.0,266339.0,0.2632,0.1139,162.92,1.043057830399996,39.71333333333333,0.04109823968831995,-3.149823339406638,3.149823339406638
SOCIETE GENERALE - PRUDENCIAL,2017-12-01,3179832.0,64986.0,364404.0,0.2707,0.149,167.13,1.144261174399985,33.526666666666664,0.0234796884826618,0,2651008.0,38299.0,266339.0,0.3287,0.1902,162.73,0.7417894039999817,40.38,0.0499559232173207,-2.945367299243396,2.945367299243396
SOCIETE GENERALE - PRUDENCIAL,2018-03-01,3230980.0,83028.0,533549.0,0.2339999999999999,0.1151,167.98,0.7014778351999817,33.15,0.0235169739436436,0,2582710.0,248886.0,317800.0,0.3251,0.1793,164.34,0.9630321349999972,41.17333333333333,0.05231369081488595,-2.896765438640753,2.896765438640753
SOCIETE GENERALE - PRUDENCIAL,2018-06-01,3804341.0,39198.0,533549.0,0.254,0.1307,167.89,1.8887030879999989,30.82333333333333,0.0164173344006566,0,3255064.0,100182.0,317800.0,0.2734,0.1651,165.65,0.2193980018000196,36.63666666666666,0.037185152879628175,-3.253951561194984,3.253951561194984
SOCIETE GENERALE - PRUDENCIAL,2018-09-01,3795749.0,61292.0,482285.0,0.2503,0.1301,169.35,0.7208535743999933,28.546666666666667,0.0218393759021749,0,3096292.0,42547.0,364404.0,0.2573999999999999,0.1125,166.12,0.5911447296000016,36.16333333333333,0.03655303812960665,-3.271753133782517,3.271753133782517
SOCIETE GENERALE - PRUDENCIAL,2018-12-01,3642351.0,88264.0,482285.0,0.2164,0.091,169.09,0.3894135824999978,28.71666666666667,0.0186815849802465,0,3179832.0,64986.0,364404.0,0.2707,0.149,167.13,1.144261174399985,33.526666666666664,0.03633450925912978,-3.277976275221802,3.277976275221802
SOCIETE GENERALE - PRUDENCIAL,2019-03-01,3388190.0,234295.0,547699.0,0.2589,0.165,169.51,1.507011320000018,30.386666666666667,0.0179940340339037,0,3230980.0,83028.0,533549.0,0.2339999999999999,0.1151,167.98,0.7014778351999817,33.15,0.03634880681676457,-3.277568017847073,3.277568017847073
SOCIETE GENERALE - PRUDENCIAL,2019-06-01,2754210.0,225405.0,547699.0,0.3195,0.1996,170.58,0.710811074100004,30.69666666666667,0.0188423215898674,0,3804341.0,39198.0,533549.0,0.254,0.1307,167.89,1.8887030879999989,30.82333333333333,0.029613112674051572,-3.4894775860117955,3.4894775860117955
SOCIETE GENERALE - PRUDENCIAL,2019-09-01,1841813.0,685800.0,489999.0,0.3422,0.2004,170.5,0.2600889164000142,30.59,0.0198096954935478,0,3795749.0,61292.0,482285.0,0.2503,0.1301,169.35,0.7208535743999933,28.546666666666667,0.02718963832478393,-3.577353205868472,3.577353205868472
