Data;CNPJ;NOME_INSTITUICAO;NOME_CONGL;A;AA;B;C;D;E;F;G;H;S1;S2;S3;Bad_Debt;Total_Portfolio;NPL
01/12/2015;62232889;BCO DAYCOVAL S.A;BCO DAYCOVAL S.A - PRUDENCIAL;12068091866,9;200771428,22;9498829829,7;2978991377,64;1173055484,78;233207255,38;198419671,48;130196285,8;874783893,9;0,0;0,0;0,0;1436607106,56;27356347093,8;0,05251458104527378
01/12/2015;62331228;DEUTSCHE BANK S.A.BCO ALEMAO;DEUTSCHE - PRUDENCIAL;830280911,18;8494963545,52;719015506,94;126219637,64;0,0;74388921,92;0,0;0,0;0,0;0,0;0,0;0,0;74388921,92;10244868523,2;0,007261090930697909
01/12/2015;68900810;BCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL;509369243,66;0,0;113133172,12;97126867,0;7850294,94;4630805,12;8592070,8;8108409,74;8319836,24;0,0;0,0;0,0;29651121,900000006;757130699,62;0,03916248794941448
01/12/2015;75647891;BCO CRÉDIT AGRICOLE BR S.A.;CREDIT AGRICOLE - PRUDENCIAL;507256907,84;3693944519,42;136988572,98;0,0;0,0;0,0;65923146,34;0,0;0,0;0,0;0,0;0,0;65923146,34;4404113146,58;0,014968540576935998
01/12/2015;78632767;BCO OURINVEST S.A.;OURINVEST - PRUDENCIAL;949814,9;11564200,92;147447,92;227050,42;90587,14;34375,08;74125,5;228659,06;4816814,36;0,0;0,0;0,0;5153974,0;18133075,3;0,28423055189099666
01/12/2015;87091716;CIA PROVINCIA CI;COMPANHIA PROVINCIA DE CREDITO IMOBILIARIO - PRUDE;5447114,0;0,0;680150,26;1533975,7;454159,62;0,0;600509,24;0,0;670160,36;0,0;0,0;0,0;1270669,6;9386069,18;0,13537824787266273
01/12/2015;90400888;BCO SANTANDER (BRASIL) S.A.;SANTANDER - PRUDENCIAL;198062270315,1;208204079875,38;35656112113,7;25857282706,54;17449737503,82;10785193094,28;5852238601,24;3336761275,8;17381991905,1;0,0;0,0;0,0;37356184876,42;522585667390,95996;0,07148337049296237
01/12/2015;91884981;BANCO JOHN DEERE S.A.;JOHN DEERE - PRUDENCIAL;6269428673,36;120563962,34;3584216320,78;1621481933,58;255393101,06;133459308,66;22094096,12;122577381,56;138145396,98;0,0;0,0;0,0;416276183,32000005;12267360174,44;0,033933639951922494
01/12/2015;92228410;OMNI SA CFI;OMNI - PRUDENCIAL;1095302676,0;0,0;1324295985,8;719647409,84;370095291,66;176587841,92;108983162,98;90764782,34;2302871990,42;0,0;0,0;0,0;2679207777,66;6188549140,96;0,432929870416184
01/12/2015;92702067;BCO DO ESTADO DO RS S.A.;BANRISUL - PRUDENCIAL;27933789998,54;12591593892,86;12618588972,64;4525783104,32;1862110987,66;581625597,78;494126454,42;655760138,06;2798142238,18;0,0;0,0;0,0;4529654428,44;64061521384,46;0,07070788096423199
01/12/2015;92816560;BD REGIONAL DO EXTREMO SUL;BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;10310368019,92;12018746480,76;1002349223,56;510384721,06;181565042,98;174978360,02;46899779,62;208305319,18;259179050,2;0,0;0,0;0,0;689362509,02;24712775997,3;0,027894984727548068
01/12/2015;92874270;BCO A.J. RENNER S.A.;BCO A.J. RENNER S.A. - PRUDENCIAL;1443388693,04;0,0;117023531,82;68817422,96;22061479,84;16806389,22;11203650,1;7536446,22;44270444,04;0,0;0,0;0,0;79816929,58;1731108057,24;0,0461074219175298
01/12/2015;92894922;BANCO ORIGINAL;ORIGINAL - PRUDENCIAL;4724930191,72;872261842,74;1925351106,94;481745944,42;215548479,5;115068527,3;14694002,56;12144152,56;149219562,04;0,0;0,0;0,0;291126244,46;8510963809,78;0,03420602542399077
01/01/2016;0;BCO DO BRASIL S.A.;BB - PRUDENCIAL;139042195901,05;371568319644,81;128081233595,66;26489493773,68;10963906577,23;12272929793,38;4752760064,09;3608398570,33;18652422807,47;0,0;0,0;0,0;39286511235,270004;715431660727,7;0,054913017401703755
01/01/2016;208;BRB - BCO DE BRASILIA S.A.;BRB - PRUDENCIAL;1359342915,63;5893097086,04;1253943125,71;679214974,75;237628438,65;108039807,44;86674572,94;77434236,28;402757876,62;0,0;0,0;0,0;674906493,28;10098133034,060001;0,06683477936006658
01/01/2016;122327;SANTINVEST S.A. - CFI;SANTINVEST - PRUDENCIAL;71899162,94;0,0;37167518,22;4435328,33;40777124,7;5296006,06;38102112,27;7225150,51;45774416,78;0,0;0,0;0,0;96397685,62;250676819,81;0,38454965917097733
01/01/2016;360305;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;107827512728,01;336636946994,92;96097388909,67;72534441341,88;31850722657,13;8352668553,9;4592667233,7;3642056989,83;18503213267,41;0,0;0,0;0,0;35090606044,84;680037618676,4501;0,051600977771106935
01/01/2016;416968;BANCO INTER;INTER - PRUDENCIAL;1637419143,26;229906201,53;97390987,59;74546037,02;34124816,61;21375415,5;12492754,03;13969688,36;41530937,56;0,0;0,0;0,0;89368795,45;2162755981,46;0,04132171923975921
01/01/2016;556603;BANCO BARI S.A.;BARIGUI - PRUDENCIAL;336633788,15;411143,62;11592248,19;20373704,0;2933802,76;2133770,96;2000157,11;723997,81;6977535,53;0,0;0,0;0,0;11835461,41;383780148,12999994;0,030839170466917715
01/01/2016;1181521;BCO COOPERATIVO SICREDI S.A.;SICREDI - PRUDENCIAL;454100826,36;14253962786,11;28132251,76;2278193,96;970167,65;5517915,69;2888716,68;436031,96;3733409,52;0,0;0,0;0,0;12576073,850000001;14752020299,69;0,0008524984100153574
01/01/2016;1522368;BCO BNP PARIBAS BRASIL S A;BNP PARIBAS - PRUDENCIAL;7745740008,16;1698813489,93;413323654,39;248152289,67;101114719,01;64551037,95;81305455,96;57464901,74;284711591,83;0,0;0,0;0,0;488032987,48;10695177148,64;0,04563112706759218
01/01/2016;1701201;KIRTON BANK;HSBC - PRUDENCIAL;17839581984,37;33228152458,05;7823266467,6;2326193448,15;1532061682,71;1084178082,17;779812476,48;684387315,81;3892678850,03;0,0;0,0;0,0;6441056724,49;69190312765,37;0,09309188623459688
01/01/2016;2038232;BANCOOB;BANCOOB - PRUDENCIAL;3640169164,64;6339052206,57;303949163,31;136284223,18;9601789,42;3108148,37;6557036,24;1262064,55;13210698,31;0,0;0,0;0,0;24137947,47;10453194494,589998;0,0023091455423021622
01/01/2016;2658435;BCO CATERPILLAR S.A.;BCO CATERPILLAR S.A. - PRUDENCIAL;1447480961,78;1544502295,12;910779109,76;230816510,95;90318900,56;67097379,28;44648961,51;34635915,54;169327807,37;0,0;0,0;0,0;315710063,7;4539607841,87;0,06954566885450388
01/01/2016;2801938;BCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL;0,0;142242712,75;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;142242712,75;0,0
01/01/2016;3502961;BCO PSA FINANCE BRASIL S.A.;PSA FINANCE - PRUDENCIAL;1357107954,07;0,0;419357408,17;61519278,1;14162944,01;7274424,71;4588778,23;4347254,43;16253883,3;0,0;0,0;0,0;32464340,67;1884611925,02;0,01722600830388754
01/01/2016;3634220;BCO HONDA S.A.;HONDA - PRUDENCIAL;1532029170,47;2688459,25;473531341,7;855395728,47;306275638,53;49612839,5;37740058,83;23685637,0;111842205,25;0,0;0,0;0,0;222880740,57999998;3392801079,0000005;0,06569225114892153
01/01/2016;4452473;BMW FINANCEIRA S.A. - CFI;BMW - PRUDENCIAL;441354939,58;291841158,08;294394100,05;230164301,67;178214176,71;15706521,47;1427682,96;768160,7;3971033,23;0,0;0,0;0,0;21873398,36;1457842074,45;0,01500395601372129
01/01/2016;4814563;SOROCRED CFI S.A.;SOROCRED CFI S.A. - PRUDENCIAL;235883509,36;0,0;21210984,79;17352752,27;11372333,03;7985544,73;6610307,47;5460315,47;21124468,72;0,0;0,0;0,0;41180636,39;327000215,84000003;0,12593458473479885
01/01/2016;4862600;PORTOSEG S.A. CFI;PORTO SEGURO - PRUDENCIAL;3804400649,34;20155563,89;107015342,83;89004132,26;50117363,4;61659050,86;73944733,74;42767392,2;208082351,9;0,0;0,0;0,0;386453528,70000005;4457146580,42;0,08670424490809191
01/01/2016;4866275;BANCO INBURSA;BCO INBURSA INV S.A. - PRUDENCIAL;252425,22;0,0;19400152,72;60020,26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;19712598,2;0,0
01/01/2016;5351887;ZEMA CFI S/A;ESTRELA MINEIRA - PRUDENCIAL;25450767,94;0,0;4135020,71;1917252,88;1232875,93;703271,79;393632,46;232289,31;5442175,39;0,0;0,0;0,0;6771368,949999999;39507286,410000004;0,17139544538007156
01/01/2016;6339468;GRAZZIOTIN FINANCIADORA SA CFI;GRAZZIOTIN FINANCIADORA SA CFI - PRUDENCIAL;15667316,79;0,0;31670,05;2814,77;7360,26;8777,59;10574,61;7288,52;68017,36;0,0;0,0;0,0;94658,08;15803819,95;0,00598956962933509
01/01/2016;7450604;BCO CCB BRASIL S.A.;CCB - PRUDENCIAL;2047892516,71;969422335,71;754669613,17;746676964,44;587527426,11;240045652,35;198405152,37;44637531,93;440388299,23;0,0;0,0;0,0;923476635,8800001;6029665492,02;0,1531555336033452
01/01/2016;7512441;HS FINANCEIRA;HS FINANCEIRA - PRUDENCIAL;106599510,62;0,0;8999409,33;5527805,52;2237361,61;2983390,56;2289268,36;2018735,12;12286352,07;0,0;0,0;0,0;19577746,11;142941833,19;0,13696302665978144
