Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,NPL,Estresse_Alto_P90,NPL_Growth_QoQ,NPL_Growth_YoY,NPL_Volatility_4Q,NPL_Volatility_8Q,NPL_Delta,NPL_Acceleration,RWA_Credito_lag4,RWA_Mercado_lag4,RWA_Operacional_lag4,Capital_Principal_lag4,Alavancagem_lag4,PIB_lag4,Spread_lag4,NPL_Growth_QoQ_lag4,NPL_Growth_YoY_lag4,NPL_Volatility_4Q_lag4,NPL_Volatility_8Q_lag4,NPL_Delta_lag4,NPL_Acceleration_lag4,RWA_Operacional_lag4_x_Alavancagem_lag4,Prob_Estresse_Final,Log_Odds_Estresse_Final,Score_Robustez_Final
SOFISA - PRUDENCIAL,2018-12-01,3130317.0,617574.0,323173.0,0.1399,0.1093,169.09,0.3894135824999978,28.71666666666667,0.0157983715115778,0,-0.13803130251413054,0.0027286471171217297,0.002424166328025781,0.002546934643398208,-0.002529871216560002,-0.1331281777587967,2797778.0,38883.0,280695.0,0.1841,0.1452,167.13,33.526666666666664,-0.08437274202978395,-0.2997774190542515,0.002556505604761712,0.0053756756700142315,-0.0014518185807028024,0.027977028646041457,40756.914,0.06296727169437413,-2.700103116064955,2.700103116064955
SOFISA - PRUDENCIAL,2019-03-01,3244538.0,369754.0,362925.0,0.1476,0.1114,169.51,1.507011320000018,30.386666666666667,0.0158014759578345,0,0.00019650419376615602,0.18638615055550312,0.0014862533480977963,0.0019637452589178115,3.1044462567020314e-06,0.1382278067078967,2846954.0,25636.0,308435.0,0.1817,0.1393,167.98,33.15,-0.15463806869973273,-0.3834262196180278,0.0025475121380623415,0.005997736959171017,-0.0024363816334309982,-0.07026532666994878,42964.995500000005,0.061730276115707035,-2.7212629505391113,2.7212629505391113
SOFISA - PRUDENCIAL,2019-06-01,3454295.0,323116.0,362925.0,0.1466,0.1083,170.58,0.710811074100004,30.69666666666667,0.0136505244735346,0,-0.13612345391276204,-0.25887088846704454,0.0019128010782088584,0.0019110740328377323,-0.002150951484299902,-0.1363199581065282,2881222.0,42135.0,308435.0,0.1868,0.1252,167.89,30.82333333333333,0.3828780358495585,-0.04986099286493084,0.0021933064254275434,0.003953448413827861,0.0050995521782067985,0.5375161045492912,38616.062000000005,0.05879075906813393,-2.7731807913072544,2.7731807913072544
SOFISA - PRUDENCIAL,2019-09-01,3821849.0,361606.0,375109.0,0.1379,0.1104,170.5,0.2600889164000142,30.59,0.0159555714158735,0,0.1688614197064653,-0.12945438073131466,0.0011030845937156021,0.0018516969552326555,0.002305046942338901,0.3049848736192273,3110274.0,36444.0,323173.0,0.1779,0.1271,169.35,28.546666666666667,-0.004903124755333832,0.06514967924700721,0.0024282051477061725,0.002981264223668462,-9.03084542597972e-05,-0.3877811606048923,41075.2883,0.046795804964602304,-3.014035584924696,3.014035584924696
SOFISA - PRUDENCIAL,2019-12-01,3962637.0,68607.0,375109.0,0.1465,0.1092,171.91,1.767530865000011,29.096666666666664,0.0198741397655622,0,0.2455924797397282,0.2579866064674756,0.0025922759435404357,0.00232476841458524,0.003918568349688699,0.07673106003326291,3130317.0,617574.0,323173.0,0.1399,0.1093,169.09,28.71666666666667,-0.13803130251413054,0.0027286471171217297,0.002424166328025781,0.002546934643398208,-0.002529871216560002,-0.1331281777587967,35322.808899999996,0.06139260669931779,-2.7271078645411935,2.7271078645411935
SOFISA - PRUDENCIAL,2020-03-01,4268992.0,171418.0,380164.0,0.1272,0.1177999999999999,168.09,0.5308473674999981,28.24,0.0207610715177803,0,0.044627428541836656,0.3138691330594843,0.0033396751969275466,0.002406415773226044,0.0008869317522181008,-0.20096505119789154,3244538.0,369754.0,362925.0,0.1476,0.1114,169.51,30.386666666666667,0.00019650419376615602,0.18638615055550312,0.0014862533480977963,0.0019637452589178115,3.1044462567020314e-06,0.1382278067078967,40429.845,0.05904322203781795,-2.768627453994909,2.768627453994909
SOFISA - PRUDENCIAL,2020-06-01,3951208.0,52793.0,380164.0,0.1632999999999999,0.1231,153.27,-0.4306129372000034,24.44333333333333,0.0243362855770522,0,0.17220758842866069,0.7828095634153083,0.003441946248583961,0.003466956490316122,0.0035752140592719,0.12758015988682403,3454295.0,323116.0,362925.0,0.1466,0.1083,170.58,30.69666666666667,-0.13612345391276204,-0.25887088846704454,0.0019128010782088584,0.0019110740328377323,-0.002150951484299902,-0.1363199581065282,39304.7775,0.05407791029850637,-2.861734418098463,2.861734418098463
SOFISA - PRUDENCIAL,2020-09-01,4249113.0,67766.0,398989.0,0.1604,0.109,165.34,1.2447095295999857,21.71666666666667,0.0191199632514936,0,-0.2143434054076564,0.19832519645595292,0.002308527414931313,0.0034868455447585106,-0.0052163223255586,-0.3865509938363171,3821849.0,361606.0,375109.0,0.1379,0.1104,170.5,30.59,0.1688614197064653,-0.12945438073131466,0.0011030845937156021,0.0018516969552326555,0.002305046942338901,0.3049848736192273,41412.0336,0.04926304981938011,-2.9600631175321666,2.9600631175321666
SOFISA - PRUDENCIAL,2020-12-01,4225953.0,15130.0,398989.0,0.168,0.0956,171.47,3.131382328999988,20.72,0.0097241468445297,0,-0.49141393649017207,-0.5107135725502118,0.00623361238936591,0.004568641167144507,-0.0093958164069639,-0.27707053108251567,3962637.0,68607.0,375109.0,0.1465,0.1092,171.91,29.096666666666664,0.2455924797397282,0.2579866064674756,0.0025922759435404357,0.00232476841458524,0.003918568349688699,0.07673106003326291,40961.9028,0.03936537348488632,-3.1947075511110534,3.1947075511110534
SOFISA - PRUDENCIAL,2021-03-01,4481086.0,39978.0,436552.0,0.16,0.1013,173.12,2.052492994999988,22.403333333333336,0.0102216445625893,0,0.05116106595402403,-0.5076533234888561,0.007116042049083607,0.0052265995654848805,0.0004974977180595992,0.5425750024441961,4268992.0,171418.0,380164.0,0.1272,0.1177999999999999,168.09,28.24,0.044627428541836656,0.3138691330594843,0.0033396751969275466,0.002406415773226044,0.0008869317522181008,-0.20096505119789154,44783.31919999996,0.042415286162998965,-3.1169053712493864,3.1169053712493864
