Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,NPL,Estresse_Alto_P90,RWA_Credito_lag4,RWA_Mercado_lag4,RWA_Operacional_lag4,Capital_Principal_lag4,Alavancagem_lag4,PIB_lag4,IPCA_lag4,Spread_lag4,Prob_Estresse_P90,Log_Odds_Estresse_P90,Score_Robustez_P90,Alerta_Estresse
ORIGINAL - PRUDENCIAL,2024-12-01,16291559.0,22045.0,4174478.0,0.0715,0.0731,191.11,1.47713535680003,27.96,0.1326096974050641,0,19641630.0,77354.0,6212462.0,0.0819999999999999,0.0635,185.03,1.083587763199989,30.41333333333333,0.0043215745607472,-5.4398045220245645,5.4398045220245645,0
ORIGINAL - PRUDENCIAL,2025-03-01,17016307.0,42392.0,2026401.0,0.0776999999999999,0.069,193.61,2.040339737600028,29.313333333333333,0.1299618364473315,0,20294907.0,2806.0,5789517.0,0.0636,0.0533,186.65,1.415491577599992,29.896666666666665,0.0029827603678622,-5.811918891710818,5.811918891710818,0
ORIGINAL - PRUDENCIAL,2025-06-01,18487971.0,48732.0,2026401.0,0.0773,0.0673,194.33,0.9327766831999762,31.666666666666668,0.1130636017611358,0,22978887.0,12212.0,5789517.0,0.062,0.0482,189.49,1.053515670799987,29.07333333333333,0.0010793879884858,-6.83028110494906,6.83028110494906,0
ORIGINAL - PRUDENCIAL,2025-09-01,19201126.0,27829.0,1786006.0,0.0761,0.0637,,0.6304326271999727,31.94666666666667,0.0853841543847649,0,25040997.0,13714.0,6417337.0,0.0637,0.0481,190.99,0.8015076655999875,28.473333333333333,0.0006706311057262,-7.306620484110315,7.306620484110315,0
OURINVEST - PRUDENCIAL,2017-03-01,444006.0,18724.0,203309.0,0.1303,0.1006,164.34,0.9630321349999972,41.17333333333333,0.0217369421493621,0,238209.0,52309.0,108072.0,0.1116,0.1188,163.26,2.6208101489999747,35.07,0.2671587860918034,-1.009085867504509,1.009085867504509,1
OURINVEST - PRUDENCIAL,2017-06-01,357587.0,18835.0,203309.0,0.1828999999999999,0.1257,165.65,0.2193980018000196,36.63666666666666,0.0370509945746739,0,213491.0,100499.0,108072.0,0.1282,0.1369,163.72,1.7496396530000125,38.303333333333335,0.2679333158602634,-1.0051334803674985,1.0051334803674985,1
OURINVEST - PRUDENCIAL,2017-09-01,370789.0,25952.0,267104.0,0.1757999999999999,0.1344,166.12,0.5911447296000016,36.16333333333333,0.0278243865861023,0,453390.0,88229.0,125850.0,0.1264,0.0821,162.92,1.043057830399996,39.71333333333333,0.2479878899728792,-1.1093725134944183,1.1093725134944183,1
OURINVEST - PRUDENCIAL,2017-12-01,412330.0,175083.0,267104.0,0.1356,0.1821,167.13,1.144261174399985,33.526666666666664,0.0102443679621031,0,447071.0,47940.0,125850.0,0.156,0.1042,162.73,0.7417894039999817,40.38,0.2478085706521638,-1.1103342964198284,1.1103342964198284,1
OURINVEST - PRUDENCIAL,2018-03-01,441717.0,69885.0,359374.0,0.1204,0.1205,167.98,0.7014778351999817,33.15,0.0046837687252338,0,444006.0,18724.0,203309.0,0.1303,0.1006,164.34,0.9630321349999972,41.17333333333333,0.268769010606634,-1.000877086853019,1.000877086853019,1
OURINVEST - PRUDENCIAL,2018-06-01,409755.0,63451.0,359374.0,0.1271,0.1175,167.89,1.8887030879999989,30.82333333333333,0.0040107464717677,0,357587.0,18835.0,203309.0,0.1828999999999999,0.1257,165.65,0.2193980018000196,36.63666666666666,0.226207155296592,-1.229852999601609,1.229852999601609,1
