Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,NPL,Estresse_Alto_P90,RWA_Credito_lag4,RWA_Mercado_lag4,RWA_Operacional_lag4,Capital_Principal_lag4,Alavancagem_lag4,PIB_lag4,IPCA_lag4,Spread_lag4,Prob_Estresse_P90,Log_Odds_Estresse_P90,Score_Robustez_P90,Alerta_Estresse
ABC-BRASIL - PRUDENCIAL,2017-03-01,19061607.0,232584.0,1094143.0,0.1433,0.0822,164.34,0.9630321349999972,41.17333333333333,0.0402954791988372,0,17277065.0,414769.0,867026.0,0.1368,0.0796,163.26,2.6208101489999747,35.07,0.0010536702327845,-6.854421524305135,6.854421524305135,0
ABC-BRASIL - PRUDENCIAL,2017-06-01,19236390.0,237293.0,1094143.0,0.1442999999999999,0.0834999999999999,165.65,0.2193980018000196,36.63666666666666,0.0402673295452507,0,17075030.0,307589.0,867026.0,0.1427999999999999,0.0823,163.72,1.7496396530000125,38.303333333333335,0.0012491189590523,-6.684066909279141,6.684066909279141,0
ABC-BRASIL - PRUDENCIAL,2017-09-01,19270424.0,283568.0,1273324.0,0.1467999999999999,0.0861,166.12,0.5911447296000016,36.16333333333333,0.0329056124348538,0,17249366.0,90803.0,944699.0,0.1472,0.0874,162.92,1.043057830399996,39.71333333333333,0.001427110824669,-6.55067515078865,6.55067515078865,0
ABC-BRASIL - PRUDENCIAL,2017-12-01,20665491.0,583935.0,1273324.0,0.1399,0.088,167.13,1.144261174399985,33.526666666666664,0.026577292133229,0,18639509.0,20804.0,944699.0,0.1429,0.0827,162.73,0.7417894039999817,40.38,0.0009367600783489,-6.972146162490231,6.972146162490231,0
ABC-BRASIL - PRUDENCIAL,2018-03-01,21911933.0,315525.0,1557492.0,0.1386,0.0914,167.98,0.7014778351999817,33.15,0.0222141839009887,0,19061607.0,232584.0,1094143.0,0.1433,0.0822,164.34,0.9630321349999972,41.17333333333333,0.0007587507484607,-7.183078190506396,7.183078190506396,0
ABC-BRASIL - PRUDENCIAL,2018-06-01,23253971.0,186681.0,1557492.0,0.1308,0.0862,167.89,1.8887030879999989,30.82333333333333,0.0223962718550248,0,19236390.0,237293.0,1094143.0,0.1442999999999999,0.0834999999999999,165.65,0.2193980018000196,36.63666666666666,0.0005967754634278,-7.4233726699743645,7.4233726699743645,0
ABC-BRASIL - PRUDENCIAL,2018-09-01,23016180.0,167142.0,1617034.0,0.1323,0.0878999999999999,169.35,0.7208535743999933,28.546666666666667,0.0284112324548673,0,19270424.0,283568.0,1273324.0,0.1467999999999999,0.0861,166.12,0.5911447296000016,36.16333333333333,0.0006177139420666,-7.388867179876193,7.388867179876193,0
ABC-BRASIL - PRUDENCIAL,2018-12-01,23316278.0,185387.0,1617034.0,0.1343,0.0883,169.09,0.3894135824999978,28.71666666666667,0.0287347274496591,0,20665491.0,583935.0,1273324.0,0.1399,0.088,167.13,1.144261174399985,33.526666666666664,0.0003002655416437,-8.110543025469648,8.110543025469648,0
ABC-BRASIL - PRUDENCIAL,2019-03-01,23265454.0,466120.0,1938594.0,0.1331,0.0896,169.51,1.507011320000018,30.386666666666667,0.0335030498396898,0,21911933.0,315525.0,1557492.0,0.1386,0.0914,167.98,0.7014778351999817,33.15,0.0002556250721447,-8.271543091288573,8.271543091288573,0
ABC-BRASIL - PRUDENCIAL,2019-06-01,24302115.0,317540.0,1938594.0,0.1336,0.1003999999999999,170.58,0.710811074100004,30.69666666666667,0.0314216119284321,0,23253971.0,186681.0,1557492.0,0.1308,0.0862,167.89,1.8887030879999989,30.82333333333333,0.0001753214833993,-8.64871388459945,8.64871388459945,0
ABC-BRASIL - PRUDENCIAL,2019-09-01,25941906.0,283260.0,2098979.0,0.1277,0.1008,170.5,0.2600889164000142,30.59,0.0272878183189421,0,23016180.0,167142.0,1617034.0,0.1323,0.0878999999999999,169.35,0.7208535743999933,28.546666666666667,0.0001725383803917,-8.664718298049564,8.664718298049564,0
ABC-BRASIL - PRUDENCIAL,2019-12-01,27084242.0,352435.0,2098979.0,0.1253,0.1015,171.91,1.767530865000011,29.096666666666664,0.0258231018113451,0,23316278.0,185387.0,1617034.0,0.1343,0.0883,169.09,0.3894135824999978,28.71666666666667,0.0001523690048137,-8.789052935369513,8.789052935369513,0
ABC-BRASIL - PRUDENCIAL,2020-03-01,29620951.0,796605.0,2195289.0,0.1075,0.0825999999999999,168.09,0.5308473674999981,28.24,0.0258531577038829,0,23265454.0,466120.0,1938594.0,0.1331,0.0896,169.51,1.507011320000018,30.386666666666667,0.0001642533462407,-8.713936261218954,8.713936261218954,0
ABC-BRASIL - PRUDENCIAL,2020-06-01,30171365.0,163787.0,2195289.0,0.1182,0.0814,153.27,-0.4306129372000034,24.44333333333333,0.0261101426306096,0,24302115.0,317540.0,1938594.0,0.1336,0.1003999999999999,170.58,0.710811074100004,30.69666666666667,0.0001224211826254,-9.007920713616851,9.007920713616851,0
ABC-BRASIL - PRUDENCIAL,2020-09-01,30359438.0,387407.0,1805855.0,0.1211999999999999,0.0902999999999999,165.34,1.2447095295999857,21.71666666666667,0.025601780006129,0,25941906.0,283260.0,2098979.0,0.1277,0.1008,170.5,0.2600889164000142,30.59,7.603948322387127e-05,-9.48418179420178,9.48418179420178,0
ABC-BRASIL - PRUDENCIAL,2020-12-01,28854946.0,275892.0,1805855.0,0.1319,0.0909,171.47,3.131382328999988,20.72,0.0345147437723706,0,27084242.0,352435.0,2098979.0,0.1253,0.1015,171.91,1.767530865000011,29.096666666666664,4.9448063949993214e-05,-9.914538203143948,9.914538203143948,0
ABC-BRASIL - PRUDENCIAL,2021-03-01,30293081.0,197679.0,1983809.0,0.1255,0.0843999999999999,173.12,2.052492994999988,22.403333333333336,0.0325213797235161,0,29620951.0,796605.0,2195289.0,0.1075,0.0825999999999999,168.09,0.5308473674999981,28.24,1.6261786098057032e-05,-11.026676351929964,11.026676351929964,0
ABC-BRASIL - PRUDENCIAL,2021-06-01,30550477.0,163088.0,1983809.0,0.1264,0.0833,172.06,1.6786286369000036,21.46333333333333,0.03284628027131,0,30171365.0,163787.0,2195289.0,0.1182,0.0814,153.27,-0.4306129372000034,24.44333333333333,2.2032779186146e-05,-10.722957217570956,10.722957217570956,0
ABC-BRASIL - PRUDENCIAL,2021-09-01,32439839.0,531430.0,2253756.0,0.1186,0.0797,172.27,3.0196768831999954,21.08666666666667,0.0320681693821317,0,30359438.0,387407.0,1805855.0,0.1211999999999999,0.0902999999999999,165.34,1.2447095295999857,21.71666666666667,1.2203928459394057e-05,-11.313740449286213,11.313740449286213,0
ABC-BRASIL - PRUDENCIAL,2021-12-01,32929842.0,261620.0,2253756.0,0.1231,0.0864,174.3,2.958021687500012,22.62,0.0275292581781562,0,28854946.0,275892.0,1805855.0,0.1319,0.0909,171.47,3.131382328999988,20.72,2.05214970385822e-05,-10.794017063618597,10.794017063618597,0
