Instituicao,Data,RWA_Credito,RWA_Mercado,RWA_Operacional,Capital_Principal,Alavancagem,PIB,IPCA,Spread,Selic,Desemprego,NPL,NPL_Volatility_8Q,RWA_Total,RWA_Credito_share,RWA_Mercado_share,RWA_Operacional_share,log_RWA_Total,Estresse_Alto_P90,RWA_Credito_share_lag4,RWA_Mercado_share_lag4,RWA_Operacional_share_lag4,log_RWA_Total_lag4,Capital_Principal_lag4,Alavancagem_lag4,NPL_Volatility_8Q_lag4,PIB_lag4,Spread_lag4,Desemprego_lag4,RWA_Operacional_share_lag4_x_Alavancagem_lag4,Prob_Estresse
RANDON - PRUDENCIAL,2021-06-01,1000716.0,0.0,375515.0,0.2054,0.276,172.06,1.6786286369000036,21.46333333333333,,14.566666666666668,0.0069655102765926,0.004160171701896693,1376231.0,0.7271424637288362,0.0,0.27285753627116377,14.134859161292484,0,0.6885187181867192,0.0,0.3114812818132809,13.910796192012809,0.1757,0.2511,0.012157510653662345,153.27,24.44333333333333,13.133333333333333,0.07821294986331483,0.5070824328725305
RANDON - PRUDENCIAL,2021-09-01,1174231.0,0.0,404389.0,0.1687999999999999,0.2166,172.27,3.0196768831999954,21.08666666666667,,13.199999999999998,0.0073059498249462,0.003168650609013207,1578620.0,0.743833854885913,0.0,0.256166145114087,14.272061605630128,0,0.705616724669401,0.0,0.294383275330599,14.003753714097089,0.1707,0.2395,0.00919282672602019,165.34,21.71666666666667,14.6,0.07050479444167845,0.47824063707788983
RANDON - PRUDENCIAL,2021-12-01,1503937.0,0.0,404389.0,0.1222,0.1499,174.3,2.958021687500012,22.62,,11.6,0.0020828401579755,0.0033031324074735383,1908326.0,0.7880922861188288,0.0,0.21190771388117124,14.461736975934324,0,0.7315084225199938,0.0,0.2684915774800062,14.09581674533174,0.1548,0.2084,0.007592861153245543,171.47,20.72,14.366666666666667,0.055953644746833286,0.461429968090071
RANDON - PRUDENCIAL,2022-03-01,1347553.0,0.0,434215.0,0.1391,0.1743,175.72,3.2006523548000043,24.72,,11.166666666666666,0.0019763060326369,0.0027818820399705675,1781768.0,0.7563010448049353,0.0,0.24369895519506468,14.393116687740477,0,0.7280811770175136,0.0,0.2719188229824864,14.138305398273177,0.1585,0.2025,0.005952733526381851,173.12,22.403333333333336,14.633333333333333,0.05506356165395349,0.46192936806609214
RANDON - PRUDENCIAL,2022-06-01,1545188.0,0.0,434215.0,0.1558,0.1979,177.81,2.215266379399994,25.546666666666667,,9.866666666666667,0.0024408077146285,0.0029813419694624324,1979403.0,0.7806333525815612,0.0,0.21936664741843878,14.49830584205437,0,0.7271424637288362,0.0,0.27285753627116377,14.134859161292484,0.2054,0.276,0.004160171701896693,172.06,21.46333333333333,14.566666666666668,0.0753086800108412,0.4671232174210146
RANDON - PRUDENCIAL,2022-09-01,1637306.0,0.0,477784.0,0.1523,0.1917,179.54,-1.3245430992000151,27.44,,8.9,0.0044970991647035,0.002977943333578652,2115090.0,0.7741070119947615,0.0,0.22589298800523855,14.564607922748644,0,0.743833854885913,0.0,0.256166145114087,14.272061605630128,0.1687999999999999,0.2166,0.003168650609013207,172.27,21.08666666666667,13.199999999999998,0.055485587031711234,0.46015544470377984
RANDON - PRUDENCIAL,2022-12-01,1835537.0,0.0,477784.0,0.1448,0.1678,180.33,1.6286339977999995,29.036666666666665,,8.1,0.0062262728119331,0.002651945418453663,2313321.0,0.7934640285546191,0.0,0.2065359714453809,14.654194712388561,0,0.7880922861188288,0.0,0.21190771388117124,14.461736975934324,0.1222,0.1499,0.0033031324074735383,174.3,22.62,11.6,0.03176496631078757,0.44886211548994315
RANDON - PRUDENCIAL,2023-03-01,2049689.0,0.0,506162.0,0.1691,0.1961,182.74,2.094210609200031,30.19,,8.6,0.0097962863824121,0.0028768858656557624,2555851.0,0.8019595038990928,0.0,0.1980404961009073,14.753895798570687,0,0.7563010448049353,0.0,0.24369895519506468,14.393116687740477,0.1391,0.1743,0.0027818820399705675,175.72,24.72,11.166666666666666,0.04247672789049978,0.4711202218530208
RANDON - PRUDENCIAL,2023-06-01,2100301.0,0.0,506162.0,0.1639,0.195,184.28,0.760729877599986,32.02333333333333,,8.266666666666667,0.0080347254580872,0.00299508222556125,2606463.0,0.8058050315696021,0.0,0.19419496843039782,14.773504687808515,0,0.7806333525815612,0.0,0.21936664741843878,14.49830584205437,0.1558,0.1979,0.0029813419694624324,177.81,25.546666666666667,9.866666666666667,0.04341265952410903,0.4741184697036997
RANDON - PRUDENCIAL,2023-09-01,2192435.0,0.0,572486.0,0.1578999999999999,0.1901,184.44,0.6111867176000096,31.51333333333333,,7.8,0.0081644247606112,0.0030912576707438763,2764921.0,0.79294670625309,0.0,0.20705329374690995,14.83252262110183,0,0.7741070119947615,0.0,0.22589298800523855,14.564607922748644,0.1523,0.1917,0.002977943333578652,179.54,27.44,8.9,0.04330368580060423,0.4860361780730959
