Instituicao,Prob_Estresse_Media,Score_Robustez
BCO A.J. RENNER S.A. - PRUDENCIAL,0.05452431706599556,2.8530413821750367
NU PAGAMENTOS - PRUDENCIAL,0.055962887268322235,2.825476736024201
RANDON - PRUDENCIAL,0.056454101267069304,2.816217069882044
AF DO ESTADO DE SC S.A. - PRUDENCIAL,0.05656048153130503,2.8142217241930725
LECCA - PRUDENCIAL,0.06027005089130111,2.74675723392346
BMP SCMEPP LTDA - PRUDENCIAL,0.06240446536646731,2.7096818230867328
OURINVEST - PRUDENCIAL,0.06657463922613809,2.640537290837403
AME DIGITAL BRASIL IP - PRUDENCIAL,0.06817873484553255,2.615008310265061
BR PARTNERS - PRUDENCIAL,0.07106120065602795,2.570501371830419
SINOSSERRA FINANCEIRA S/A - PRUDENCIAL,0.07192639896071545,2.557467681586866
QISTA S.A. CFI - PRUDENCIAL,0.07486170755814503,2.514300719443384
AVISTA S.A. CFI - PRUDENCIAL,0.07592735407932304,2.4990136739010267
BCO TRIANGULO S.A. - PRUDENCIAL,0.07837848770337784,2.464585133839375
UBS (BRASIL) - PRUDENCIAL,0.08056070200127621,2.4347530631604335
TRINUS CAPITAL DTVM - PRUDENCIAL,0.08140766583537255,2.423372983271965
NEON PAGAMENTOS IP - PRUDENCIAL,0.08400196790728442,2.389173990264858
AF PARANÁ - PRUDENCIAL,0.08603962655075979,2.362979251450051
INDUSVAL - PRUDENCIAL,0.08852521282496471,2.331776530812018
QI SCD - PRUDENCIAL,0.08975990088744283,2.316570072309891
GRAZZIOTIN FINANCIADORA SA CFI - PRUDENCIAL,0.09519548086831672,2.251786448608926
HAITONG - PRUDENCIAL,0.1027598395578763,2.166928952705313
CREDIARE CFI - PRUDENCIAL,0.10394599204086542,2.1541292309432007
ANDBANK - PRUDENCIAL,0.11041047149788268,2.0865551725394678
MERCADO PAGO IP - PRUDENCIAL,0.12329371481497922,1.9616025935743633
COMPANHIA PROVINCIA DE CREDITO IMOBILIARIO - PRUDE,0.12559625161890067,1.9404698138665748
COOPER CARD IP - PRUDENCIAL,0.1300551425255328,1.900471293633776
PAGSEGURO - PRUDENCIAL,0.1319419172531238,1.883896823089463
AGENCIA FOMENTO EST RJ S.A. - PRUDENCIAL,0.1339034714459266,1.8668771891722764
ORIGINAL - PRUDENCIAL,0.13521840627316917,1.8555856868326084
SOROCRED CFI S.A. - PRUDENCIAL,0.15954420040554113,1.6616233608732813
GAZIN - PRUDENCIAL,0.15958708764351706,1.6613035561357998
GENIAL - PRUDENCIAL,0.16034482013074597,1.6556646853049517
GOLDMAN SACHS - PRUDENCIAL,0.16256488458140766,1.639266574764292
SCOTIABANK BRASIL - PRUDENCIAL,0.1695106824834136,1.5890991179217298
SIMPALA CFI - PRUDENCIAL,0.17042702312594546,1.5826038944619711
FORTBRASIL IP - PRUDENCIAL,0.17226923702576022,1.5696293515133104
SANTANA S.A. - CFI - PRUDENCIAL,0.1868630547060861,1.470523518961932
FATOR - PRUDENCIAL,0.2041471156093793,1.3605734612736995
GAZINCRED SCFI - PRUDENCIAL,0.21039287442275398,1.32255889888779
BANQI IP - PRUDENCIAL,0.2104012428366901,1.3225085262454692
CODEPE CORRETORA DE VAL. S.A. - PRUDENCIAL,0.2138553637829003,1.301840874698529
PERNAMBUCANAS - PRUDENCIAL,0.2151600308975692,1.2940977549761268
DACASA FINANCEIRA - PRUDENCIAL,0.21700755295500082,1.2831908905903298
MONEY PLUS SCMEPP LTDA - PRUDENCIAL,0.22756984844860217,1.2220843685643665
TULLETT PREBON BRASIL S.A. CTVM - PRUDENCIAL,0.23245168205577,1.1945190481409076
CAIXA GERAL - PRUDENCIAL,0.24064874415475457,1.1491260808367711
AFINZ IP - PRUDENCIAL,0.24240172322513745,1.139556904100403
CONFIDENCE - PRUDENCIAL,0.251643523126873,1.089865942542294
OMNI - PRUDENCIAL,0.25490116952715286,1.0726409683822113
ESTRELA MINEIRA - PRUDENCIAL,0.3061079499385328,0.8183785836282738
AGIBANK - PRUDENCIAL,0.32368177406406184,0.7369028593775959
SENFFNET IP - PRUDENCIAL,0.32678359769770277,0.7227686556166719
BANCO DIGIMAIS - PRUDENCIAL,0.32845736905678924,0.7151704451459766
SAX S.A. CFI - PRUDENCIAL,0.32953033721389574,0.7103100358835872
BRASIL PLURAL - PRUDENCIAL,0.35084772483709264,0.6153150226735712
CIELO IP - PRUDENCIAL,0.3517963678184073,0.6111523864945599
M PAGAMENTOS S.A. CFI - PRUDENCIAL,0.4109322393427436,0.3601128874704551
PLANNER - PRUDENCIAL,0.41110484601179653,0.3593998792460844
BANCO C6,0.4340509238928974,0.26534223923747347
EFI S.A. IP - PRUDENCIAL,0.4357686969509972,0.25835268821652174
SUMUP IP - PRUDENCIAL,0.43909132397717565,0.24485068570985852
HS FINANCEIRA - PRUDENCIAL,0.44947612529019304,0.20278758578419326
COBUCCIO SCFI - PRUDENCIAL,0.4726339761075008,0.10957359588954323
SANTINVEST - PRUDENCIAL,0.5168943556709346,-0.06760315751127405
GOLCRED - PRUDENCIAL,0.5310432008335619,-0.12433272388246618
BCO INBURSA INV S.A. - PRUDENCIAL,0.5684477336487894,-0.2755207413651451
BCO KDB BRASIL S.A. - PRUDENCIAL,0.6112477395846402,-0.4525600647113934
BANIF - PRUDENCIAL,0.6381505786397031,-0.5673461099778636
ZEMA CFI - PRUDENCIAL,0.6746343690357811,-0.7292213002885416
RECARGAPAY IP - PRUDENCIAL,0.6883629456181682,-0.7924770126422314
VR - PRUDENCIAL,0.7451947986968048,-1.0731463221942976
CREFISA S.A. CFI - PRUDENCIAL,0.8684118787325289,-1.8869893658904868
ASAAS GESTAO FINANCEIRA IP - PRUDENCIAL,0.9226626732579402,-2.4790869793727857
