Transformacao,AUC,Delta_AUC_vs_sem_IPCA,Coeficiente,P-valor,Significativo
IPCA Original,0.8111592803400501,0.0005192941100962134,0.04376812231443521,0.5700006918563917,NAO
IPCA ao Quadrado,0.8122795552741902,0.0016395690442362332,0.10798897208843491,0.18420850347544326,NAO
IPCA Absoluto,0.8114714402826361,0.0008314540526821457,0.0805947587645157,0.3088676064322877,NAO
Dummy: IPCA Alto,0.8106239406254284,-1.6045604525505297e-05,0.0018517042348304177,0.9808046857229747,NAO
Dummy: IPCA Muito Alto,0.8114976967264049,0.000857710496451003,0.08177135900822848,0.307305387354988,NAO
