Metric,Value
AUC_Train,0.847591075207973
AUC_Test,0.7225406646800918
PR2_Train,0.32436136612203414
Recall_Test,0.5932203389830508
Precision_Test,0.1111111111111111
F1_Test,0.18716577540106952
Acc_Test,0.680672268907563
