Instituicao,Score_Log_Odds_Robustez
BANCO PAULISTA - PRUDENCIAL,3.20259222420801
SICREDI - PRUDENCIAL,3.2010382810601516
COMPANHIA PROVINCIA DE CREDITO IMOBILIARIO - PRUDE,3.1917231474102636
PERNAMBUCANAS - PRUDENCIAL,3.1876068009300735
OMNI - PRUDENCIAL,3.1844578434600765
INTER - PRUDENCIAL,3.1650975963065173
SANTANA S.A. - CFI - PRUDENCIAL,3.162629608320902
SCANIA - PRUDENCIAL,3.1471300979276275
SOFISA - PRUDENCIAL,3.1437242149636444
BARIGUI - PRUDENCIAL,3.125337063404637
RENDIMENTO - PRUDENCIAL,3.125323731419297
BCO GUANABARA S.A. - PRUDENCIAL,3.1246886308815043
SANTINVEST - PRUDENCIAL,3.1206571520544655
DACASA FINANCEIRA - PRUDENCIAL,3.1172249783685317
MERCEDES-BENZ - PRUDENCIAL,3.113380896461211
BCO TRIANGULO S.A. - PRUDENCIAL,3.110832353451543
MORGAN STANLEY - PRUDENCIAL,3.1073340275364103
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL,3.0943503104653702
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL,3.0898282794437617
ING - PRUDENCIAL,3.068752843412497
BCO MODAL S.A. - PRUDENCIAL,3.0646031315749167
INDUSTRIAL DO BRASIL - PRUDENCIAL,3.063975459281376
PARANÁ BANCO - PRUDENCIAL,3.057453844368626
ALFA - PRUDENCIAL,3.0204044217042614
BCO A.J. RENNER S.A. - PRUDENCIAL,2.9766527243259313
BRASIL PLURAL - PRUDENCIAL,2.975865584147726
SOCOPA - PRUDENCIAL,2.962873638250884
GM - PRUDENCIAL,2.959598653022765
SOCIETE GENERALE - PRUDENCIAL,2.934452865921011
DEUTSCHE - PRUDENCIAL,2.930992225958437
OURINVEST - PRUDENCIAL,2.9267375052670777
FATOR - PRUDENCIAL,2.9197596735787625
VOLVO - PRUDENCIAL,2.9195537277616017
CAIXA GERAL - PRUDENCIAL,2.9077063509114836
JOHN DEERE - PRUDENCIAL,2.8954294651395034
MIZUHO - PRUDENCIAL,2.884903151005185
