Variavel,Mean,Std
RWA_Credito_lag4,47893019.86638194,147903230.93959293
RWA_Mercado_lag4,1062413.5802318486,4762447.643670897
RWA_Operacional_lag4,5042233.4301403295,14801409.280070614
Capital_Principal_lag4,0.1910801708358755,0.14172170274531218
Alavancagem_lag4,0.11489835265405735,0.13076072847318385
NPL_Volatility_8Q_lag4,0.017485480748900013,0.028874574473555813
PIB_lag4,166.5774191580232,4.111685140000344
Spread_lag4,31.919633923123854,5.62936622218139
Desemprego_lag4,12.422798454342079,0.9805067533713961
RWA_Operacional_lag4_x_Alavancagem_lag4,460144.6331054301,1258094.4994691655
