Instituicao,Alertas_Total,Prob_Estresse_Media,NPL_Medio
FACTA S.A. CFI - PRUDENCIAL,2,0.638998944123882,0.0523288427620844
MONEY PLUS SCMEPP LTDA - PRUDENCIAL,2,0.8400763855817459,0.07255723129533564
EFI S.A. IP - PRUDENCIAL,2,0.8925643263201588,0.08651831396161196
PERNAMBUCANAS - PRUDENCIAL,2,0.658030383300189,0.23867973213057136
NU PAGAMENTOS - PRUDENCIAL,2,0.2353294723119867,0.10370294858121377
PROVER PROMOCAO DE VENDAS IP - PRUDENCIAL,2,0.8807213019741159,0.0
RECARGAPAY IP - PRUDENCIAL,2,0.8906463907979582,0.3576360887002902
BRINKS PAY IP - PRUDENCIAL,1,0.8921730507267938,0.0
BANCO LETSBANK - PRUDENCIAL,1,0.37207566322191515,0.267050264407429
CIELO - PRUDENCIAL,1,0.8398413115853263,0.5562818660610817
FISERV DO BRASIL IP - PRUDENCIAL,1,0.7856393221096738,0.0
MIZUHO - PRUDENCIAL,1,0.49168924010576304,0.005934178220661918
JP MORGAN CHASE - PRUDENCIAL,1,0.10233681897927802,0.012306626647710414
CREDSYSTEM IP - PRUDENCIAL,1,0.5763442694706556,0.0
PINBANK BRASIL IP - PRUDENCIAL,1,0.8919448587518493,0.0
RANDON - PRUDENCIAL,1,0.5036094332919356,0.016871258527923476
SCANIA - PRUDENCIAL,1,0.29369861474074344,0.01592800020499832
TRINUS CAPITAL DTVM - PRUDENCIAL,1,0.5246157059118458,0.0
UBS (BRASIL) - PRUDENCIAL,1,0.7718413354048346,0.0
