Feature,AUC,Delta_AUC,Pseudo_R2,Delta_R2,Coeficiente,P-valor,LR_Test_P-valor,Significativo
NPL_Volatility_8Q,0.8818639798488664,0.018906408453007728,0.30001038362139065,0.02865446812882555,0.34609298202729527,1.3239775370803142e-07,1.7795999376289992e-08,SIM
NPL_Volatility_4Q,0.8777650561025876,0.01480748470672888,0.2944169751918072,0.023061059699242104,0.29706667186505425,6.2025410468031214e-06,4.3572973654132774e-07,SIM
NPL_Delta,0.8664169583565049,0.0034593869606461825,0.2793374613908036,0.007981545898238518,0.3423808416292522,0.005182355837232081,0.002953790503741481,SIM
NPL_Growth_QoQ,,,,,,,,ERRO: exog contains inf or nans
NPL_Growth_YoY,,,,,,,,ERRO: exog contains inf or nans
NPL_Acceleration,,,,,,,,ERRO: exog contains inf or nans
