Interacao,AUC,Delta_AUC,Pseudo_R2,Delta_R2,Coef_Interacao,P-valor_Interacao,LR_Test_P-valor,Significativo
Risco Operacional x Alavancagem,0.8258453845547927,0.01468610421474259,0.2116027668068743,0.032662675172966615,2.4399464087133027,9.156669138450589e-10,5.441478887076962e-14,SIM
Capital x Alavancagem,0.8175410548672153,0.006381774527165152,0.18622464879799494,0.007284557164087269,0.3645423462557297,0.0004735223296354707,0.0003826647402992928,SIM
Alavancagem x Custo de Funding,0.8121161818462947,0.0009569015062446118,0.18177337608730482,0.0028332844533971446,-0.6269040022127035,0.030765651244421367,0.02675540632670829,SIM
Spread x Inflacao,0.8120855493285644,0.0009262689885142228,0.17950246443153106,0.0005623727976233894,-0.3881271835338686,0.3243742758887993,0.32371288585224867,NAO
Risco de Credito x Ciclo Economico,0.8114626881347131,0.00030340779466297985,0.17962504770095833,0.0006849560670506571,113.82037887486072,0.25748188009013806,0.27610365427983286,NAO
Capital x Risco de Credito,0.8114524772954695,0.0002931969554194058,0.1791855291523763,0.0002454375184686164,5.138573733928768,0.5135540457816827,0.514435234794735,NAO
Capital x Inflacao,0.8110819697000639,-7.731063998628329e-05,0.1789681286109298,2.803697702213892e-05,0.034395888881973556,0.825440221734431,0.8256007610379011,NAO
Capital x Ciclo Economico,0.810053592319115,-0.001105688020935136,0.1806716941247516,0.0017316024908439198,-2.781693614019693,0.07867010618431428,0.08333168415000945,NAO
